"paperID"	"author1"	"year"	"title"	"journal"	"liao"	"vila"	"castroDiez"	"sourceOverlap"	"nObs"	"ammonif"	"nh"	"nitrif"	"nminz"	"no"	"soilcn"	"soiln"	"som"	"toti"
"105"	443	"Blank"	2008	"Biogeochemistry of Plant Invasion: A Case Study with Downy Brome (Bromus tectorum)"	"INVASIVE PLANT SCIENCE AND MANAGEMENT"	NA	"Yes"	NA	"PaperInPreviousMeta"	2	0	0	0	2	0	2	2	0	2
"106"	461	"Blank"	2010	"Intraspecific and interspecific pair-wise seedling competition between exotic annual grasses and native perennials: plant-soil relationships"	"PLANT AND SOIL"	NA	NA	NA	"NewPaper"	17	0	17	0	17	17	0	0	0	17
"107"	476	"Gaertner"	2011	"Effects of Alien Plants on Ecosystem Structure and Functioning and Implications for Restoration: Insights from Three Degraded Sites in South African Fynbos"	"ENVIRONMENTAL MANAGEMENT"	NA	NA	NA	"NewPaper"	3	0	0	0	0	0	0	3	0	3
"108"	484	"Kurten"	2008	"Morella cerifera invasion and nitrogen cycling on a lowland Hawaiian lava flow"	"BIOLOGICAL INVASIONS"	NA	"Yes"	NA	"PaperInPreviousMeta"	1	0	1	0	1	0	1	1	0	0
"109"	491	"Perkins"	2011	"Plant-induced changes in soil nutrient dynamics by native and invasive grass species"	"PLANT AND SOIL"	NA	NA	NA	"NewPaper"	24	0	0	0	0	0	0	0	0	24
"110"	498	"Taniguchi"	2007	"Inhibition of the regeneration of Japanese black pine (Pinus thunbergii) by black locust (Robinia pseudoacacia) in coastal sand dunes"	"JOURNAL OF FOREST RESEARCH"	NA	NA	NA	"NewPaper"	6	0	0	0	0	0	6	6	0	0
"111"	506	"Leary"	2006	"The major features of an infestation by the invasive weed legume gorse (Ulex europaeus) on volcanic soils in Hawaii"	"BIOLOGY AND FERTILITY OF SOILS"	NA	NA	NA	"NewPaper"	2	0	0	0	0	0	0	2	0	0
"112"	532	"Prevosto"	2006	"Broom (Cytisus scoparius) colonization after grazing abandonment in the French Massif Central: impact on vegetation composition and resource availability"	"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY"	NA	NA	NA	"NewPaper"	3	0	3	0	0	3	3	3	0	0
"113"	539	"Archibald"	2011	"Managing small remnants of native forest to increase biodiversity within plantation landscapes in the south west of Western Australia"	"FOREST ECOLOGY AND MANAGEMENT"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	1	0	0
"114"	551	"Adair"	2010	"Plant phenology and life span influence soil pool dynamics: Bromus tectorum invasion of perennial C-3-C-4 grass communities"	"PLANT AND SOIL"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	0	0	1
"115"	561	"Rout"	2013	"BACTERIAL ENDOPHYTES ENHANCE COMPETITION BY INVASIVE PLANTS"	"AMERICAN JOURNAL OF BOTANY"	NA	NA	NA	"NewPaper"	2	0	0	0	0	2	0	0	0	0
"116"	563	"Abella"	2012	"Ecological Characteristics of Sites Invaded by Buffelgrass (Pennisetum ciliare)"	"INVASIVE PLANT SCIENCE AND MANAGEMENT"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	1	1	1
"117"	570	"Fan"	2010	"The effect of Lantana camara Linn. invasion on soil chemical and microbiological properties and plant biomass accumulation in southern China"	"GEODERMA"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	0	1	1	1
"118"	580	"Sanon"	2012	"Differences in nutrient availability and mycorrhizal infectivity in soils invaded by an exotic plant negatively influence the development of indigenous Acacia species"	"JOURNAL OF ENVIRONMENTAL MANAGEMENT"	NA	NA	NA	"NewPaper"	1	0	0	0	0	0	0	1	1	0
"119"	592	"Mitchell"	2011	"Influence of Chinese Privet (Ligustrum sinense) on Decomposition and Nutrient Availability in Riparian Forests"	"INVASIVE PLANT SCIENCE AND MANAGEMENT"	NA	NA	NA	"NewPaper"	2	0	0	0	2	0	0	0	0	0
"120"	639	"Morris"	2012	"The impact of garlic mustard on sandy forest soils"	"APPLIED SOIL ECOLOGY"	NA	NA	NA	"NewPaper"	1	0	0	0	1	0	1	1	1	0
"121"	640	"McEwan"	2012	"Throughfall Chemistry and Soil Nutrient Effects of the Invasive Shrub Lonicera maackii in Deciduous Forests"	"AMERICAN MIDLAND NATURALIST"	NA	NA	NA	"NewPaper"	3	0	3	0	0	3	3	3	0	3
"122"	641	"Bottollier-Curtet"	2012	"Light interception principally drives the understory response to boxelder invasion in riparian forests"	"BIOLOGICAL INVASIONS"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	0	1	1
"123"	663	"Dickens"	2014	"Exotic plant invasion alters chaparral ecosystem resistance and resilience pre- and post-wildfire"	"BIOLOGICAL INVASIONS"	NA	NA	NA	"NewPaper"	3	0	3	2	0	3	2	2	1	3
"124"	667	"Price"	2014	"Ecology of Native vs. Introduced Phragmites australis (Common Reed) in Chicago-Area Wetlands"	"WETLANDS"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	0	0	0
"125"	669	"Bansal"	2014	"Plant litter effects on soil nutrient availability and vegetation dynamics: changes that occur when annual grasses invade shrub-steppe communities"	"PLANT ECOLOGY"	NA	NA	NA	"NewPaper"	2	0	0	0	0	2	0	0	0	2
"126"	680	"Gasch"	2013	"An aboveground-belowground assessment of ecosystem properties associated with exotic annual brome invasion"	"BIOLOGY AND FERTILITY OF SOILS"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	1	1	0	0
"127"	681	"Hagan"	2013	"Cogongrass (Imperata cylindrica) Invasion and Eradication: Implications for Soil Nutrient Dynamics in a Longleaf Pine Sandhill Ecosystem"	"INVASIVE PLANT SCIENCE AND MANAGEMENT"	NA	NA	NA	"NewPaper"	4	0	4	0	0	4	0	4	4	4
"128"	689	"Ruffner"	2012	"Ecosystem function differs between Old World bluestem invaded and native coastal prairie in South Texas"	"BIOLOGICAL INVASIONS"	NA	NA	NA	"NewPaper"	2	0	0	0	2	0	2	2	0	2
"129"	693	"Turner"	2011	"Bridal Creeper (Asparagus asparagoides)-Invaded Sites with Elevated Levels of Available Soil Nutrients: Barrier to Restoration?"	"INVASIVE PLANT SCIENCE AND MANAGEMENT"	NA	NA	NA	"NewPaper"	4	0	4	0	0	4	0	0	4	4
"130"	704	"Kourtev"	1999	"Differences in Earthworm Densities and Nitrogen Dynamics in Soils Under Exotic and Native Plant Species"	"Biological Invasions"	NA	NA	NA	"NewPaper"	5	5	5	5	5	5	0	5	0	0
"131"	705	"Adams"	2009	"Diversity declines in Microstegium vimineum(Japanese stiltgrass) patches"	"Biological Conservation"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	0	0	1
"132"	706	"Zhang"	2009	"Effects of the invader Solidago canadensis on soil properties"	"Applied Soil Ecology"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	0	1	0	0	1	0	1	0	0
"133"	707	"Hellmann"	2011	"Impact of an exotic N 2-fixing Acacia on composition and N status of a native Mediterranean community"	"Acta Oecologica"	NA	NA	NA	"NewPaper"	1	0	1	0	0	1	0	0	1	1
"134"	708	"Vinton"	1995	"Interactions Between Individual Plant Species and Soil Nutrient Status in Shortgrass Steppe"	"Ecology"	NA	NA	NA	"NewPaper"	6	0	0	0	6	0	6	6	0	0
"135"	710	"Martin"	2009	"Invasion by an exotic tree alters above and belowground ecosystem components"	"Biological Invasions"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	0	0	1	0	1	1	1	0
"136"	713	"McGrath"	2009	"Microstegium vimineum invasion changes soil chemistry and microarthropod communities in Cumberland Plateau forests"	"Southeastern Naturalist"	NA	NA	NA	"NewPaper"	4	0	0	0	0	4	0	0	0	0
"137"	714	"Templer"	1998	"Sediment chemistry associated with native and non-native emergent macrophytes of a Hudson River marsh ecosystem"	"Wetlands"	NA	NA	NA	"NewPaper"	2	0	2	0	0	0	0	0	2	0
"138"	715	"Marchante"	2008	"Short-and long-term impacts of Acacia longifolia invasion on the belowground processes of a Mediterranean coastal dune ecosystem"	"Applied Soil Ecology"	NA	"Yes"	"Yes"	"PaperInPreviousMeta"	1	0	1	1	0	1	1	1	0	1
"139"	716	"Scharfy"	2009	"The invasive alien plant species Solidago gigantea alters ecosystem properties across habitats with differing fertility"	"Journal of Vegetation Science"	NA	NA	"Yes"	"PaperInPreviousMeta"	1	1	1	1	1	1	1	1	0	1
"140"	717	"Rout"	2009	"The invasive Sorghum halepense harbors endophytic N2-fixing bacteria and alters soil biogeochemistry"	"Plant and Soil"	NA	NA	NA	"NewPaper"	2	0	0	0	0	2	0	0	0	0
"141"	720	"DeMarco"	2013	"Impact of the invasive tree black locust on soil properties of Mediterranean stone pine-holm oak forests"	"Plant and Soil"	NA	NA	NA	"NewPaper"	2	0	0	0	0	0	2	2	0	0
"142"	721	"Boudiaf"	2013	"\"The exotic legume tree species, Acacia mearnsii, alters microbial soil functionalities and the early development of a native tree species, Quercus suber, in North Africa\""	"SOIL BIOLOGY & BIOCHEMISTRY"	NA	NA	NA	"NewPaper"	2	0	0	0	0	0	2	2	2	0
"143"	722	"Liao "	2007	"\"Invasion of Spartina alterniflora Enhanced Ecosystem Carbon and Nitrogen Stocks in the Yangtze Estuary, China \""	"ECOSYSTEMS"	NA	NA	NA	"NewPaper"	2	0	0	0	0	0	2	2	0	0
